CustomerID,Age,member,non-member,premium,NextPurchaseDay,Recency,Frequency,Revenue,Cluster,NextPurchaseDayRange
13085,22.0,1,0,0,9999.0,54,84,2433.28,0,0
13078,34.0,0,1,0,20.0,3,801,29532.45,3,1
15362,31.0,0,1,0,9999.0,345,40,613.08,1,0
18102,31.0,1,0,0,27.0,23,1058,608821.65,2,1
12682,32.0,1,0,0,21.0,3,989,21693.91,3,1
18087,21.0,0,1,0,192.0,187,88,14761.519999999999,0,0
13635,37.0,1,0,0,375.0,339,162,2999.16,1,0
14110,24.0,1,0,0,30.0,16,399,12987.95,0,1
17519,33.0,0,1,0,116.0,30,222,5109.47,0,0
13758,31.0,0,0,1,162.0,98,309,9416.98,0,0
15413,34.0,0,1,0,9999.0,588,25,6798.72,1,0
16321,28.0,0,1,0,232.0,202,23,604.5500000000001,0,0
16167,35.0,0,1,0,9999.0,311,63,1386.1200000000001,1,0
17865,37.0,0,1,0,19.0,4,1018,26374.39,3,1
17592,36.0,0,1,0,9999.0,635,13,148.3,1,0
13767,37.0,0,0,1,21.0,5,795,35540.53,3,1
17238,34.0,1,0,0,51.0,33,1231,7783.1,3,2
15712,27.0,0,0,1,38.0,6,166,3472.4100000000003,0,2
15311,36.0,0,1,0,13.0,9,4434,116771.16,3,1
16329,24.0,0,1,0,9999.0,324,115,1703.07,1,0
17700,21.0,1,0,0,118.0,110,360,6679.97,0,0
14911,31.0,1,0,0,6.0,2,11245,295972.63,4,1
15998,18.0,1,0,0,84.0,68,1436,8308.34,3,3
12931,34.0,0,0,1,52.0,17,218,92347.34,3,2
12533,37.0,1,0,0,9999.0,524,70,1223.89,1,0
17984,37.0,0,0,1,9999.0,42,251,1191.27,0,0
14871,18.0,0,1,0,9999.0,75,201,1258.97,0,0
13394,21.0,1,0,0,37.0,12,409,6621.7,0,2
16011,32.0,1,0,0,19.0,16,455,5880.46,0,1
16393,32.0,0,0,1,48.0,39,786,5561.66,3,2
14040,18.0,0,0,1,23.0,14,794,12645.57,3,1
12913,20.0,0,1,0,266.0,179,96,6700.860000000001,0,0
15061,21.0,0,1,0,54.0,24,987,137818.52,3,2
14341,23.0,1,0,0,85.0,27,266,4467.32,0,3
17804,20.0,0,0,1,9999.0,273,92,385.23,1,0
14156,29.0,0,1,0,17.0,11,4048,313946.37,2,1
13599,28.0,0,1,0,71.0,53,410,10167.630000000001,0,3
17063,28.0,0,1,0,105.0,60,205,3638.53,0,0
15719,29.0,1,0,0,27.0,23,1780,10223.06,3,1
12490,30.0,0,0,1,45.0,35,441,8764.64,0,2
15793,32.0,1,0,0,229.0,165,30,2399.57,0,0
17056,37.0,0,0,1,9999.0,635,8,128.60000000000002,1,0
13526,31.0,1,0,0,9999.0,635,44,1182.0,1,0
14654,19.0,0,0,1,9999.0,635,27,246.86,1,0
17998,28.0,1,0,0,9999.0,277,58,639.24,1,0
17742,26.0,0,1,0,9999.0,10,85,2098.48,0,0
15326,26.0,1,0,0,9999.0,230,129,1700.52,0,0
14478,18.0,0,1,0,9999.0,279,68,1276.66,1,0
15967,25.0,0,1,0,295.0,215,498,3041.6,0,0
17611,29.0,0,0,1,51.0,20,1124,8371.98,3,2
15051,18.0,1,0,0,100.0,47,290,3935.16,0,0
13097,32.0,0,1,0,45.0,19,1017,13389.22,3,2
13590,38.0,0,1,0,99.0,47,410,6349.59,0,0
15984,24.0,1,0,0,39.0,7,747,8759.32,3,2
16887,29.0,0,1,0,365.0,297,102,660.72,1,0
12921,30.0,1,0,0,32.0,27,1534,35921.04,3,2
14543,37.0,0,0,1,34.0,5,216,14901.77,0,2
15945,38.0,0,1,0,9999.0,262,30,827.27,1,0
18037,19.0,1,0,0,9999.0,51,33,167.42,0,0
15662,36.0,0,1,0,9999.0,557,12,283.73,1,0
15380,29.0,0,1,0,54.0,37,53,3479.0600000000004,0,2
13110,22.0,0,1,0,83.0,33,252,2957.4700000000003,0,3
12836,29.0,1,0,0,77.0,34,414,6585.62,0,3
15005,38.0,1,0,0,12.0,5,2454,14106.2,3,1
16620,20.0,0,0,1,9999.0,157,94,1758.93,0,0
12758,36.0,1,0,0,9999.0,13,313,9903.24,0,0
17961,27.0,0,0,1,34.0,20,660,2995.54,0,2
15601,19.0,0,0,1,33.0,19,872,14960.12,3,2
13585,23.0,1,0,0,9999.0,427,39,684.54,1,0
13442,32.0,1,0,0,9999.0,564,38,419.87,1,0
13381,27.0,1,0,0,24.0,10,356,8224.37,0,1
16763,32.0,0,1,0,9999.0,95,44,964.6999999999999,0,0
17243,35.0,1,0,0,20.0,10,1134,20889.86,3,1
14865,26.0,0,0,1,9999.0,268,9,129.72,1,0
17345,29.0,0,1,0,103.0,93,213,1604.68,0,0
13819,26.0,0,1,0,9999.0,198,101,2642.35,0,0
15808,24.0,0,1,0,9999.0,203,858,18409.93,3,0
17191,37.0,0,1,0,97.0,88,575,4836.05,0,0
13748,18.0,1,0,0,136.0,129,59,2268.35,0,0
15265,27.0,0,0,1,9999.0,48,193,3345.64,0,0
15750,31.0,1,0,0,98.0,67,650,6797.191,0,0
17428,22.0,0,1,0,25.0,7,729,31819.760000000002,3,1
15485,20.0,0,0,1,305.0,232,161,5771.51,0,0
17246,26.0,0,1,0,9999.0,443,6,38.92,1,0
14061,25.0,0,1,0,9999.0,403,19,917.4300000000001,1,0
14108,23.0,0,0,1,700.0,628,52,1044.96,1,0
13648,19.0,0,1,0,9999.0,297,105,1759.07,1,0
16563,21.0,1,0,0,346.0,297,90,4422.76,1,0
16701,22.0,0,1,0,75.0,26,275,9916.73,0,3
12842,32.0,1,0,0,238.0,205,48,1917.99,0,0
14302,25.0,0,0,1,9999.0,327,28,742.9000000000001,1,0
14135,20.0,0,0,1,29.0,2,256,9643.92,0,1
14831,20.0,1,0,0,9999.0,577,82,1676.57,1,0
15602,19.0,0,0,1,129.0,97,128,3230.51,0,0
13777,33.0,0,0,1,48.0,26,391,56478.42,3,2
14000,27.0,0,0,1,9999.0,107,49,2046.3400000000001,0,0
16823,18.0,0,0,1,9999.0,124,175,2260.09,0,0
16163,24.0,0,0,1,9999.0,129,73,2849.58,0,0
17193,25.0,1,0,0,90.0,73,44,2310.04,0,3
15759,20.0,0,1,0,9999.0,115,17,830.9300000000001,0,0
16131,34.0,0,0,1,63.0,12,219,9957.42,0,3
14560,29.0,1,0,0,11.0,6,200,6114.03,0,1
17087,31.0,1,0,0,9999.0,634,12,221.53,1,0
14894,21.0,0,0,1,357.0,340,46,1492.81,1,0
16202,32.0,0,0,1,9999.0,257,124,2501.9900000000002,1,0
16700,24.0,1,0,0,40.0,18,529,9167.710000000001,0,2
17511,30.0,0,1,0,21.0,11,1911,175603.55,3,1
14299,24.0,0,0,1,29.0,4,340,14499.49,0,1
17949,27.0,0,1,0,6.0,2,156,118613.08,3,1
14799,33.0,0,1,0,686.0,634,23,338.15,1,0
16550,38.0,1,0,0,9999.0,5,813,9435.13,3,0
12980,18.0,1,0,0,9999.0,54,52,16245.78,0,0
14425,34.0,0,1,0,9999.0,331,39,661.39,1,0
15353,35.0,0,0,1,9999.0,151,387,3175.95,0,0
17818,19.0,0,0,1,9999.0,634,46,130.18,1,0
13654,25.0,0,0,1,102.0,42,329,6308.0,0,0
17189,30.0,0,1,0,9999.0,2,123,957.63,0,0
13269,25.0,0,0,1,21.0,6,499,8891.7,0,1
14653,30.0,0,1,0,271.0,235,386,3614.54,0,0
17019,27.0,0,1,0,250.0,158,713,4012.2,0,0
15542,23.0,0,0,1,9999.0,409,252,918.45,1,0
13564,23.0,0,0,1,9999.0,41,1271,17249.55,3,0
16467,30.0,0,1,0,9999.0,405,24,2869.16,1,0
15833,37.0,0,1,0,9999.0,634,5,80.4,1,0
14527,24.0,1,0,0,9.0,4,2701,27792.3,3,1
17476,27.0,1,0,0,9999.0,292,31,489.86,1,0
15287,22.0,1,0,0,309.0,276,36,856.03,1,0
14440,27.0,0,1,0,244.0,213,141,6638.7300000000005,0,0
15680,19.0,0,0,1,325.0,263,266,4507.58,1,0
15581,30.0,0,1,0,9999.0,17,717,7794.59,3,0
13740,20.0,0,0,1,9999.0,137,95,1597.77,0,0
17768,22.0,0,1,0,133.0,63,190,3509.51,0,0
12948,36.0,0,0,1,46.0,2,125,2317.43,0,2
14667,32.0,1,0,0,18.0,10,1362,21927.14,3,1
17377,24.0,0,0,1,36.0,23,1776,18319.41,3,2
14467,31.0,0,0,1,266.0,209,308,2220.9900000000002,0,0
13457,37.0,0,1,0,9999.0,585,9,148.22,1,0
18108,17.0,1,0,0,9999.0,151,47,848.8100000000001,0,0
16210,34.0,0,1,0,17.0,13,281,38489.51,3,1
14669,35.0,0,0,1,9999.0,138,395,3243.93,0,0
17909,31.0,0,0,1,9999.0,634,9,132.55,1,0
16086,34.0,0,1,0,101.0,97,137,2864.9900000000002,0,0
16711,37.0,0,1,0,113.0,37,33,2868.48,0,0
14739,26.0,0,0,1,125.0,116,256,12287.5,0,0
16233,35.0,1,0,0,258.0,226,75,1965.71,0,0
14204,29.0,0,1,0,9999.0,319,232,1062.96,1,0
17606,31.0,0,0,1,9999.0,634,6,87.30000000000001,1,0
16797,17.0,0,1,0,9999.0,289,407,1827.77,1,0
16126,30.0,1,0,0,155.0,81,383,14646.800000000001,0,0
17867,37.0,0,1,0,113.0,40,141,1621.2800000000002,0,0
17412,34.0,0,0,1,136.0,93,236,4417.52,0,0
16525,21.0,0,0,1,18.0,14,364,24582.64,0,1
13623,27.0,0,1,0,179.0,106,292,2566.49,0,0
12435,33.0,1,0,0,188.0,164,112,13925.93,0,0
14549,29.0,0,1,0,9999.0,208,144,916.5500000000001,0,0
14106,29.0,1,0,0,9999.0,634,1,214.79999999999998,1,0
14980,20.0,0,0,1,9999.0,634,24,150.68,1,0
14396,24.0,0,0,1,306.0,268,291,2121.93,1,0
14122,32.0,0,0,1,9999.0,303,13,362.42,1,0
16987,33.0,1,0,0,115.0,66,266,2535.9,0,0
17809,35.0,0,1,0,68.0,26,112,11337.39,0,3
15917,23.0,0,1,0,9999.0,144,155,560.63,0,0
14987,38.0,0,1,0,349.0,262,17,1713.85,1,0
14080,23.0,0,1,0,380.0,310,83,1115.68,1,0
16200,33.0,0,0,1,9999.0,61,627,5643.45,0,0
15794,19.0,0,1,0,9999.0,633,15,777.0,1,0
15523,23.0,0,0,1,304.0,285,214,17359.99,1,0
15615,23.0,0,1,0,42.0,2,901,21373.97,3,2
18001,36.0,0,1,0,362.0,346,140,953.84,1,0
17841,34.0,1,0,0,4.0,0,12890,70884.07,4,1
13089,17.0,0,1,0,13.0,9,3362,116737.86,3,1
15989,35.0,0,1,0,9999.0,272,88,372.51,1,0
17660,29.0,0,1,0,9999.0,38,89,359.47,0,0
13313,27.0,0,0,1,105.0,37,187,3445.32,0,0
12437,21.0,0,0,1,79.0,74,529,11282.4,0,3
14841,27.0,1,0,0,119.0,76,300,7163.0,0,0
14646,36.0,1,0,0,12.0,2,3819,526751.52,2,1
15482,19.0,0,1,0,109.0,62,149,14592.56,0,0
16156,28.0,0,1,0,66.0,48,263,6218.18,0,3
17716,28.0,0,0,1,29.0,20,601,15956.97,3,1
12779,25.0,0,0,1,152.0,86,277,6722.2699999999995,0,0
13611,33.0,0,0,1,81.0,67,229,3319.53,0,3
15255,27.0,0,0,1,329.0,293,189,3729.42,1,0
14771,32.0,0,0,1,9999.0,518,47,594.62,1,0
14838,32.0,0,1,0,9999.0,320,71,773.6700000000001,1,0
13979,20.0,0,0,1,319.0,290,406,3416.23,1,0
13800,38.0,0,1,0,9999.0,206,73,1679.56,0,0
14483,30.0,0,1,0,9999.0,178,13,257.1,0,0
14915,18.0,0,1,0,186.0,174,90,1811.25,0,0
13753,25.0,1,0,0,9999.0,184,80,2094.57,0,0
16301,36.0,0,0,1,9999.0,633,6,107.33,1,0
13931,20.0,1,0,0,185.0,177,271,5257.38,0,0
17035,32.0,0,1,0,9999.0,142,33,613.59,0,0
15194,30.0,0,1,0,39.0,23,492,12427.69,0,2
14347,23.0,0,1,0,9999.0,633,6,82.6,1,0
12934,27.0,0,0,1,9999.0,633,2,181.65,1,0
15291,29.0,0,1,0,77.0,69,246,13846.56,0,3
17209,20.0,1,0,0,9999.0,546,40,611.6,1,0
15658,24.0,1,0,0,9999.0,87,116,2423.4700000000003,0,0
17314,25.0,0,1,0,90.0,45,256,4904.43,0,3
17155,32.0,0,0,1,160.0,74,73,892.46,0,0
15965,22.0,0,1,0,338.0,264,368,3013.09,1,0
17322,29.0,0,1,0,9999.0,273,177,922.59,1,0
16159,20.0,0,0,1,9999.0,178,52,1232.79,0,0
14051,26.0,1,0,0,21.0,9,334,22434.0,0,1
13993,25.0,0,1,0,55.0,42,261,6775.71,0,2
17411,18.0,0,1,0,185.0,158,75,1425.38,0,0
15768,27.0,0,0,1,9999.0,12,1238,15601.09,3,0
12835,33.0,1,0,0,9999.0,324,620,6043.31,1,0
15179,33.0,1,0,0,180.0,130,314,7491.92,0,0
17069,22.0,0,0,1,73.0,52,295,5794.28,0,3
16918,37.0,1,0,0,64.0,56,457,3213.29,0,3
15466,31.0,0,1,0,304.0,286,265,1571.01,1,0
14159,31.0,1,0,0,49.0,41,1874,7938.01,3,2
17940,23.0,0,0,1,58.0,5,36,30393.19,0,2
17581,34.0,0,1,0,31.0,6,850,18757.75,3,2
16168,36.0,1,0,0,4.0,0,309,10636.47,0,1
14606,20.0,1,0,0,4.0,0,6565,30741.06,4,1
17287,30.0,1,0,0,68.0,40,495,4111.96,0,3
17913,29.0,1,0,0,296.0,252,476,3479.64,0,0
13416,22.0,1,0,0,655.0,633,26,940.8000000000001,1,0
16779,32.0,0,1,0,35.0,3,1054,33268.24,3,2
13895,37.0,1,0,0,76.0,40,186,4008.52,0,3
14057,21.0,0,1,0,20.0,6,454,8408.84,0,1
17017,36.0,1,0,0,89.0,59,424,14110.61,0,3
13208,19.0,0,1,0,96.0,52,254,1988.5,0,0
17465,17.0,0,0,1,9999.0,322,142,2542.79,1,0
13468,31.0,0,0,1,12.0,4,728,13390.51,3,1
13485,26.0,1,0,0,9999.0,130,157,3015.2200000000003,0,0
17271,18.0,0,0,1,9999.0,633,52,210.39,1,0
16139,32.0,1,0,0,93.0,9,57,1111.15,0,0
15953,36.0,0,1,0,146.0,108,186,3669.5499999999997,0,0
15856,21.0,0,1,0,5.0,0,1161,34220.340000000004,3,1
14967,30.0,0,0,1,391.0,338,29,1982.6100000000001,1,0
16497,30.0,0,1,0,153.0,100,337,6695.28,0,0
17764,21.0,0,0,1,160.0,107,159,1623.64,0,0
14905,30.0,0,0,1,9999.0,54,78,1971.39,0,0
18229,35.0,0,1,0,17.0,7,211,10803.710000000001,0,1
17293,22.0,1,0,0,34.0,16,245,3774.23,0,2
17853,31.0,0,1,0,9999.0,304,106,1608.19,1,0
15550,18.0,1,0,0,9999.0,3,240,2218.8,0,0
13531,18.0,1,0,0,9999.0,101,90,1738.52,0,0
13786,18.0,1,0,0,9999.0,264,124,3358.94,1,0
14952,30.0,0,0,1,118.0,103,307,17629.35,0,0
14031,31.0,0,1,0,52.0,23,781,40999.17,3,2
12937,29.0,0,0,1,126.0,94,217,3097.61,0,0
16612,27.0,1,0,0,86.0,16,167,3245.43,0,3
12949,26.0,1,0,0,83.0,11,715,15526.7,3,3
14958,27.0,0,1,0,9999.0,44,72,957.9399999999999,0,0
17329,37.0,0,1,0,300.0,212,105,1004.4300000000001,0,0
16736,24.0,0,0,1,9999.0,402,143,2956.56,1,0
